,repo,file path,code,variables,called paragraphs,LOC,summary,Linked Programs,Called Programs,File Calls,granite generated summary,function name,refined summary2,reference coverage,hallucination detection
100,walmartlabs_zECS,X-COBOL/X-COBOL/COBOL_Files/walmartlabs_zECS/ZECS000.cbl,"       3210-DELETE.
           EXEC CICS DELETE FILE(ZF-FCT)
                RIDFLD(ZF-KEY-16)
                NOHANDLE
           END-EXEC.","       01  ZF-FCT.

       01  ZF-RECORD.

           02  ZF-KEY-16.

               05  ZF-KEY.
",[],4,Issue DELETE for every segment.,,,,"### Response:
This code is written in COBOL (Common Business Oriented Language) and it is used to delete a file named ""ZF-FCT"" from a mainframe system using the CICS (Customer Information Control System) transaction processing system. The code uses the CICS DELETE FILE statement to perform the deletion operation.

The code specifies that the file to be deleted is named ""ZF-FCT"". It also includes a record definition for the file, which consists of a single field named ""ZF-KEY-16"". This field is further divided into two subfields: ""ZF-KEY"", which is a variable-length character string.

The code also includes a ridfld clause, which specifies the record identifier field for the file. In this case, the ridfld value is ""ZF-KEY-16"", which means that the record identifier will be taken from the ""ZF-KEY-16"" field in each record of the file.

Finally, the code includes a nohandle clause, which indicates that the file handle associated with the file being deleted should not be released after the deletion operation is complete.",3210-DELETE,"The COBOL code is used to delete a file in a CICS environment. The file to be deleted is specified by the ZF-FCT variable, and the record identifier field is specified by the ZF-KEY-16 variable. The NOHANDLE option is used to indicate that the file handle should not be released after the delete operation.",1,1
8,bmcsoftware_vscode-ispw,X-COBOL/X-COBOL/COBOL_Files/bmcsoftware_vscode-ispw/CWBWCOBX.cbl,"       6200-PRINT-EMPLOYEE-HEADERS.
               MOVE PAGE-COUNT TO EMP-PAGE.
               MOVE DATE-YY TO EMP-RUN-YY.
               MOVE DATE-MM TO EMP-RUN-MM.
               MOVE DATE-DD TO EMP-RUN-DD.
               WRITE REPORT-RECORD FROM BLANK-LINE.
               WRITE REPORT-RECORD FROM BLANK-LINE.
               WRITE REPORT-RECORD FROM BLANK-LINE.
               WRITE REPORT-RECORD FROM EMPLOYEE-HDR1.
               WRITE REPORT-RECORD FROM BLANK-LINE.
               WRITE REPORT-RECORD FROM BLANK-LINE.
               WRITE REPORT-RECORD FROM EMPLOYEE-HDR2.
               WRITE REPORT-RECORD FROM EMPLOYEE-HDR3.
               WRITE REPORT-RECORD FROM BLANK-LINE.
               ADD 1 TO PAGE-COUNT.
               MOVE 5 TO EMP-LINE-COUNT.","       01  REPORT-RECORD              PIC X(80).

       01  COUNTERS.

           05  PAGE-COUNT             PIC 9(3)     VALUE 1.

           05  EMP-LINE-COUNT         PIC S99      VALUE +56.

       01  DATE-FIELDS REDEFINES TODAYS-DATE.

           05  DATE-YY                PIC 9(2).

           05  DATE-MM                PIC 9(2).

           05  DATE-DD                PIC 9(2).

       01  EMPLOYEE-HDR1.

           05  EMP-RUN-MM

                           PIC 99.

           05  EMP-RUN-DD

                           PIC 99.

           05  EMP-RUN-YY

                           PIC 99.

           05  EMP-PAGE    PIC ZZ9.

       01  EMPLOYEE-HDR2.

       01  EMPLOYEE-HDR3.

       01  BLANK-LINE             PIC X(80)   VALUE SPACES.
",[],16,PRINT HEADERS FOR EMPLOYEE COMPENSATION REPORT,,,,"<Answer>
This code is part of a COBOL program that prints employee headers for a report. It moves the current page number to the variable ""EMP-PAGE"", the year, month, and day to variables ""EMP-RUN-YY"", ""EMP-RUN-MM"", and ""EMP-RUN-DD"" respectively, and writes these values to the ""REPORT-RECORD"". It then writes three blank lines to the report, followed by the employee header information in ""EMPLOYEE-HDR1"", another blank line, another blank line, and finally the employee header information in ""EMPLOYEE-HDR2"" and ""EMPLOYEE-HDR3"". The page count is incremented by one, and the employee line count is set to 5.",6200-PRINT-EMPLOYEE-HEADERS,"The COBOL code is used to print employee headers. It moves the page count to the employee page, and the date year, month, and day to the employee run year, month, and day. It then writes the report record from the blank line, and then from the employee hdr1, blank line, blank line, employee hdr2, employee hdr3, and blank line. It then adds 1 to the page count and moves 5 to the employee line count.",1,1
22,IBM_example-health-apis,X-COBOL/X-COBOL/COBOL_Files/IBM_example-health-apis/HCAVDB01.cbl,"       INSERT-BLOODPRESSURE.
           MOVE ' INSERT BLOODPRESSURE' TO EM-SQLREQ
             EXEC SQL
               INSERT INTO BLOODPRESSURE
                         ( PATIENTID,
                           BPDATETIME,
                           BLOODPRESSURE )
                  VALUES ( :DB2-PATIENT-ID,
                           :DB2-TIMESTAMP,
                           :CA-BLOOD-PRESSURE )
             END-EXEC

             IF SQLCODE NOT EQUAL 0
               MOVE '90' TO CA-RETURN-CODE
               PERFORM WRITE-ERROR-MESSAGE
               EXEC CICS RETURN END-EXEC
             END-IF

           MOVE DB2-PATIENT-ID TO CA-PATIENT-ID.

           EXIT.","       01  ERROR-MSG.

           03 EM-VARIABLE.

             05 EM-SQLREQ              PIC X(16) VALUE SPACES.

       01  DB2-OUT.

           03 DB2-PATIENT-ID        PIC S9(9) COMP.

           03 DB2-TIMESTAMP         PIC X(26).
",['WRITE-ERROR-MESSAGE'],23,Insert row into Bloodpressure table based on patient number,,,,"### Response:
The code segment is written in COBOL and is part of a larger program. It starts with a WRITE-ERROR-MESSAGE paragraph and performs several tasks. First, it uses the CICS ASKTIME and FORMATTIME commands to retrieve the current system time and format it into two separate variables, WS-DATE and WS-TIME. Then, it moves these values to the corresponding fields in the ERROR-MSG structure. Next, it uses the CICS LINK command to call an external program named HCAZERRS, passing along the ERROR-MSG structure as a parameter. If there is additional data available in the EIBCALEN field, it checks its length and either moves all of the data to the CA-DATA field or only the first 70 characters if it's longer. Finally, it calls the HCAZERRS program again, this time passing the CA-ERROR-MSG structure as a parameter. After these operations, the code exits.",INSERT-BLOODPRESSURE,"This COBOL code is used to insert a blood pressure reading into a database. The code first moves the string ""INSERT BLOODPRESSURE"" to a variable called EM-SQLREQ. Then, it uses the EXEC SQL statement to execute an SQL INSERT statement that inserts a new record into the BLOODPRESSURE table. The values for the PATIENTID, BPDATETIME, and BLOODPRESSURE columns are provided by the variables DB2-PATIENT-ID, DB2-TIMESTAMP, and CA-BLOOD-PRESSURE, respectively. If the SQL statement is successful, the code moves the value of DB2-PATIENT-ID to the variable CA-PATIENT-ID and exits. If there is an error, the code moves the value ""90"" to the variable CA-RETURN-CODE, performs a write-error-message, and then uses the EXEC CICS RETURN statement to end the program.",1,1
54,brazilofmux_gnucobol,X-COBOL/X-COBOL/COBOL_Files/brazilofmux_gnucobol/floor-div.cbl,"0100-main.
    if fdm-x >= 0
        divide fdm-y into fdm-x giving fdm-div
    else
        add 1 to fdm-x giving fdm-tmp
        subtract fdm-y from fdm-tmp
        divide fdm-y into fdm-tmp giving fdm-div
    end-if.
    goback.","       01  fdm-tmp pic s9(8) comp-5.

       01  fdm-x   pic s9(8) comp-5.

       01  fdm-y   pic s9(8) comp-5.

       01  fdm-div pic s9(8) comp-5.
",[],8,"The following ""Floor Division"" routine calculates the proper modulus of a negative number. For negative numbers, a modulus is different than a remainder. The modulus is always positive.",,,,"### Response:
This code is performing integer division using the FDM (Fixed Decimal Point) method. The algorithm first checks whether the dividend (fdm-x) is greater than or equal to zero. If it is, it performs a simple division operation by dividing fdm-y by fdm-x and storing the result in fdm-div. However, if the dividend is negative, the algorithm adds one to fdm-x and then subtracts fdm-y from the result. This adjusted value is then divided by fdm-y, and the final result is stored in fdm-div. Finally, the program uses the GOBACK statement to return control to the calling program.",0100-main,"The COBOL code is performing a division operation using fixed-point arithmetic. It checks if the value of fdm-x is greater than or equal to zero, and if so, it divides the value of fdm-y into fdm-x and stores the result in fdm-div. If fdm-x is negative, it adds 1 to fdm-x, subtracts the value of fdm-y from the result, and then divides the value of fdm-y into the result and stores the final result in fdm-div. Finally, the code uses the goback statement to return to the calling program.",0.5,1
96,walmartlabs_zECS,X-COBOL/X-COBOL/COBOL_Files/walmartlabs_zECS/ZECS000.cbl,"       3000-DEPLICATE.
           PERFORM 7000-GET-URL               THRU 7000-EXIT.

           IF  EIBRESP EQUAL DFHRESP(NORMAL)
           IF  DC-TYPE EQUAL ACTIVE-ACTIVE
           OR  DC-TYPE EQUAL ACTIVE-STANDBY
               PERFORM 7100-WEB-OPEN          THRU 7100-EXIT.

           IF  EIBRESP EQUAL DFHRESP(NORMAL)
           IF  DC-TYPE EQUAL ACTIVE-ACTIVE
           OR  DC-TYPE EQUAL ACTIVE-STANDBY
               MOVE DFHVALUE(DELETE)            TO WEB-METHOD
               PERFORM 7200-WEB-CONVERSE      THRU 7200-EXIT.

           IF  EIBRESP EQUAL DFHRESP(NORMAL)
           IF  DC-TYPE EQUAL ACTIVE-ACTIVE
           OR  DC-TYPE EQUAL ACTIVE-STANDBY
               PERFORM 7300-WEB-CLOSE         THRU 7300-EXIT.

           IF  EIBRESP EQUAL DFHRESP(NORMAL)
           OR  EIBRESP EQUAL DFHRESP(LENGERR)
           IF  WEB-STATUS-CODE EQUAL HTTP-STATUS-201
           AND WEB-STATUS-ABSTIME NUMERIC
               PERFORM 3100-UPDATE-ABS        THRU 3100-EXIT
           ELSE
               PERFORM 3200-DELETE            THRU 3200-EXIT.","       01  DEPLICATE              PIC  X(10) VALUE '/deplicate'.

       01  HTTP-STATUS-201        PIC S9(04) COMP VALUE 201.

       01  WEB-METHOD             PIC S9(08) COMP VALUE ZEROES.

       01  ACTIVE-ACTIVE          PIC  X(02) VALUE 'AA'.

       01  ACTIVE-STANDBY         PIC  X(02) VALUE 'AS'.

       01  DC-CONTROL.

           02  DC-TYPE            PIC  X(02) VALUE SPACES.

       01  WEB-STATUS-CODE        PIC S9(04) COMP VALUE 00.

       01  WEB-STATUS-ABSTIME     PIC  9(15) VALUE ZEROES.
","['7300-EXIT', '7200-WEB-CONVERSE', '7000-GET-URL', '7000-EXIT', '3100-EXIT', '3200-DELETE', '7300-WEB-CLOSE', '7100-WEB-OPEN', '7100-EXIT', '7200-EXIT', '3200-EXIT', '3100-UPDATE-ABS']",25,"Deplicate request to the other Data Center. Delete FILE and KEY records only when eligible to expire at both Data Centers, otherwise update this record with the ABSTIME from the other Data Center.",,,,"The code inside <CODE> and </CODE> is written in COBOL, a programming language used for business applications. The code performs a series of operations to move data between variables and execute CICS transactions.

The first operation involves moving the contents of the variable ""WEB-STATUS-ABSTIME"" to the variable ""ZF-ABS"". This is followed by executing a CICS transaction using the ""EXEC CICS REWRITE FILE"" statement, which rewrites a file from a record with a given length and without a handle. After that, a syncpoint is executed using the ""EXEC CICS SYNCPOINT NOHANDLE"" statement.

Next, the code increments the value of the variable ""RESET-COUNT"" and checks if it exceeds the value of ""FIVE-HUNDRED"". If so, it performs a restart operation using the ""PERFORM 8100-RESTART"" statement and then returns control using the ""PERFORM 7100-RETURN"" statement.

Finally, the code exits using the ""PERFORM 9000-EXIT"" statement.",3000-DEPLICATE,"This COBOL code is part of a larger program that handles the duplication of data. It first retrieves a web address using the 7000-GET-URL subroutine, then checks the response code and the type of data center to determine if it should open a web connection. If so, it sets the web method to delete and calls the 7200-WEB-CONVERSE subroutine to manage the web communication. After that, it closes the web connection and either updates the absolute time or deletes the data based on the response code and status code.",1,1
13,bmcsoftware_vscode-ispw,X-COBOL/X-COBOL/COBOL_Files/bmcsoftware_vscode-ispw/CWBWDATE.cbl,"         3000-CALC-LEAP-YEAR.
             DIVIDE RUN-YY BY 4
                 GIVING HOLD-YEARS
                 REMAINDER EXTRA-YEARS.
             IF EXTRA-YEARS = 0
                 IF RUN-DD = 29
                     MOVE 'Y' TO EOM-SW.","       01  WORK-AREAS.

           05  HOLD-YEARS             PIC 9(2)    VALUE 0.

           05  EXTRA-YEARS            PIC 9(2)    VALUE 0.

       01  EOM-SW                     PIC X.

       01  RUN-DATE.

           05  RUN-YY                 PIC 9(2).

           05  RUN-DD                 PIC 9(2).
",[],6,"DETERMINE IF THE RUN YEAR IS A LEAP YEAR. IF SO, CHECK TO SEE IF THE RUN MONTH IS FEBRUARY, THEN CHECK THE RUN DAY FOR FEBRUARY 29TH.",,,,"### Response:
This COBOL program is checking if the year in the variable RUN-YY is a leap year. It does this by dividing the year by 4 and checking if there is any remainder (EXTRA-YEARS). If there is no remainder, it then checks if the day of the month (RUN-DD) is equal to 29. If it is, it sets the variable EOM-SW to 'Y', indicating that it is a leap year.",3000-CALC-LEAP-YEAR,"This COBOL code is checking if the year in the variable RUN-YY is a leap year. If it is, it sets the variable EOM-SW to 'Y'. A leap year is a year that has 366 days instead of 365, and it occurs every four years. The code does this by dividing the year by 4 and checking if there is a remainder. If there is no remainder, it means the year is divisible by 4 and therefore a leap year. The code then checks if the day in the variable RUN-DD is 29, which is the day before the end of the month. If it is, it sets the variable EOM-SW to 'Y', indicating that it is the end of the month.",0.75,1
88,walmartlabs_zECS,X-COBOL/X-COBOL/COBOL_Files/walmartlabs_zECS/ECS001.cbl,"       A5000-CLOSE-CONNECTION.

           EXEC CICS WEB CLOSE
                SESSTOKEN( SESSION-TOKEN )
                NOHANDLE
           END-EXEC.

           IF EIBRESP = DFHRESP(NORMAL)
              GO TO A5000-EXIT
           END-IF.

           MOVE SPACES                       TO TERM-DATA.
           MOVE EIBRESP                      TO CICS-MSG-RESP.
           MOVE EIBRESP2                     TO CICS-MSG-RESP2.
           MOVE 'A5000: WEB_CLOSE ERROR:'    TO CICS-MSG-TEXT.
           MOVE CICS-MSG                     TO TERM-LINES(1).

           PERFORM Z1000-EXIT-PROGRAM THRU Z1000-EXIT.","       01  SESSION-TOKEN               PIC X(08).

       01  I                           PIC 9(04) COMP.

       01  TERM-DATA.

           05  TERM-LINES OCCURS 24 TIMES

                          INDEXED BY TERM-IDX

                                       PIC X(80) VALUE SPACES.

       01  CICS-MSG.

           05  CICS-MSG-TEXT           PIC X(34).

           05  CICS-MSG-RESP           PIC 9(04).

           05  CICS-MSG-RESP2          PIC 9(04).
","['Z1000-EXIT', 'Z1000-EXIT-PROGRAM', 'A5000-EXIT']",23,Close the open connection.,,,,"### Response:
This code snippet is written in COBOL, which is a programming language used for business applications. The code defines an exit program named ""Z1000-EXIT"" that terminates the program when executed. The variable ""I"" is defined as a four-digit number with decimal places.",A5000-CLOSE-CONNECTION,"This COBOL code is used to close a connection in a CICS environment. It uses the CICS WEB CLOSE verb to close the connection with the specified session token. If the response is normal, the program exits. Otherwise, it moves the response and response 2 to variables, sets a message text, and performs an exit program.",1,1
72,cicsdev_cics-async-api-credit-card-application-example,X-COBOL/X-COBOL/COBOL_Files/cicsdev_cics-async-api-credit-card-application-example/SEQPNT.cbl,"       PRINT-TEXT-TO-SCREEN.
           IF IS-TERMINAL-BASED = 'Y' THEN
             EXEC CICS SEND TEXT FROM ( PRINT-LINE )
                       TERMINAL WAIT
                       FREEKB
                       ERASE
             END-EXEC
           END-IF
           .","       1 PRINT-LINE.

       1 IS-TERMINAL-BASED    PIC X(1) VALUE 'N'.
",[],8,"For terminal based invocations, update with progress status",,,,"### Response:
This code is used to print text to the screen. It first checks if the system is terminal-based by checking the value of the variable IS-TERMINAL-BASEED. If it is, then it uses the CICS SEND TEXT statement to send the contents of the variable PRINT-LINE to the terminal. The TERMINAL WAIT option ensures that the program will wait for the user to press a key before continuing, while the FREEKB option allows the program to continue running even if the keyboard is busy. Finally, the ERASE option erases any remaining characters on the screen.",PRINT-TEXT-TO-SCREEN,"This COBOL code is used to print text to a screen. It first checks if the system is terminal-based. If it is, it uses the CICS SEND TEXT statement to send the contents of the PRINT-LINE variable to the terminal. The TERMINAL WAIT option ensures that the program will wait for the user to respond before continuing. The FREEKB option releases the keyboard, and the ERASE option erases the screen.",1,1
33,shamrice_COBOL-RSS-Reader,X-COBOL/X-COBOL/COBOL_Files/shamrice_COBOL-RSS-Reader/application_configurator_program_2.cbl,"       configure-xmllint-command.
      
           call ""logger"" using ""Checking if xmllint exists""
           move ws-xmllint-check-cmd to ls-command-to-test

           perform check-program-exists

           if ls-command-exists then 
               call ""logger"" using ""Cmd exists! xmllint will be used.""
               set ls-xmllint-found-value to true

           else 
               call ""logger"" using function concatenate(
                   ""Failed to find xmllint installation. Retrying of ""
                   ""formatted feeds will be disabled. "")
               end-call 
                       
               set ls-xmllint-not-found-value to true                
           end-if 
                      
           call ""save-config"" using ws-xmllint-cmd-key ls-config-value 
           
           exit paragraph. ","       78  ws-xmllint-check-cmd            

                            value ""xmllint --version > /dev/null 2>&1"".

       78  ws-xmllint-cmd-key              value ""xmllint"".

       01  ls-command-to-test              pic x(128).

       01  ls-config-set.

           05  ls-config-value             pic x(32) value spaces.

           05  ls-xmllint-cmd-config-value redefines ls-config-value  

                                           pic x(32).

               88  ls-xmllint-found-value  

                                      value ws-xmllint-exists-value.

               88  ls-xmllint-not-found-value  

                                      value ws-xmllint-not-exists-value.               

       01  ls-command-exists-sw            pic x value 'N'.

           88  ls-command-exists           value 'Y'.
",['check-program-exists'],22,"Configure if xmllint is installed. If it's installed, a second pass will be attempted parsing feeds to format them. Feeds that were minified, should successfully parse this second attempt. If not installed, only one pass will be attempted on whatever is returned from the download command.",,,,"### Response:
This code checks if the program ""ls"" exists by attempting to open a pipe to it. If the pipe is successfully opened, the program sets the flag ls-command-exists to true; otherwise, it sets it to false. The variable ls-launch-status is used to store the status of the pipe opening operation.",configure-xmllint-command,"This COBOL code is used to configure the xmllint command. It checks if xmllint exists by calling the ""logger"" function and passing the message ""Checking if xmllint exists"". It then moves the command to test to the variable ls-command-to-test and checks if the program exists. If the command exists, it calls the ""logger"" function and passes the message ""Cmd exists! xmllint will be used."" and sets the ls-xmllint-found-value to true. If the command does not exist, it calls the ""logger"" function and passes the message ""Failed to find xmllint installation. Retrying of formatted feeds will be disabled."" and sets the ls-xmllint-not-found-value to true. Finally, it calls the ""save-config"" function and passes the ws-xmllint-cmd-key and ls-config-value.",0.75,0.75
20,IBM_example-health-apis,X-COBOL/X-COBOL/COBOL_Files/IBM_example-health-apis/HCMRESTW.cbl,"       WRITE-TSQ.

           EXEC CICS WRITEQ TS QUEUE(WS-TSQ-NAME)
                     FROM(WS-TSQ-DATA)
                     RESP(RESP)
                     NOSUSPEND
                     LENGTH(WS-TSQ-LEN)
           END-EXEC.","       01 JSON-REST-DATA.

             06 patient-medications.

               09 medications OCCURS 50.

                 12 name                          PIC X(50).

       01  WS-TSQ-FIELDS.

           03  WS-TSQ-NAME           PIC X(8) VALUE 'HCMRESTW'.

           03  WS-TSQ-LEN            PIC S9(4) COMP VALUE +200.

           03  WS-TSQ-DATA           PIC X(200).

       77 RESP                       PIC S9(8) COMP-5 SYNC.
",[],7,Write to TSQ,,,['WS-TSQ-NAME'],"### Response:
This code is written in COBOL and it is used to write data to a CICS transaction server queue (TSQ). The program uses the CICS WRITEQ command to write data from the workspace variable ""WS-TSQ-DATA"" to the TSQ named ""WS-TSQ-NAME"". The length of the data to be written is specified by the ""WS-TSQ-LEN"" variable, which has a value of 200. The ""NOSUSPEND"" option is used to indicate that the program should not suspend if the TSQ is full. The ""RESP"" variable is used to store the response code returned by the CICS WRITEQ command.",WRITE-TSQ,"The COBOL code is a program that writes data to a CICS transaction server (TS) queue. The queue name is specified by the variable WS-TSQ-NAME, and the data to be written is in the variable WS-TSQ-DATA. The program uses the CICS WRITEQ verb to write the data to the queue, and specifies that the program should not be suspended if the queue is full. The length of the data to be written is specified by the variable WS-TSQ-LEN. The program also includes a synchronization point (SYNC) for responding to requests.",1,1
3,bmcsoftware_vscode-ispw,X-COBOL/X-COBOL/COBOL_Files/bmcsoftware_vscode-ispw/CWBWCOBX.cbl,"       4000-PROCESS-MANAGEMENT.
           MOVE WA-EMP-NAME    TO REGION-MANAGER (WA-EMP-REGION).
           MOVE WA-MGMT-SALARY TO REGION-SALARY (WA-EMP-REGION).","       01  REGION-SALES-TABLE.

           05  REGION-DATA         OCCURS 4 TIMES.

               10  REGION-MANAGER    PIC X(15).

               10  REGION-SALARY     PIC 9(4)V99.

       01  EMPLOYEE-WORK-AREA.

           05  WA-EMP-TYPE           PIC X.

               88  MANAGEMENT        VALUE 'M'.

           05  WA-EMP-REGION         PIC 9.

           05  WA-EMP-NAME           PIC X(15).

           05  WA-MGMT-EMPLOYEE-DATA   REDEFINES

                                        WA-SALES-EMPLOYEE-DATA.

               10  WA-MGMT-SALARY    PIC 9(5)V99     COMP-3.
",[],2,PROCESS TYPE M (MANAGEMENT) RECORDS. THE MANAGER NAME AND SALARY ARE STORED IN A TABLE FOR USE DURING PRINTING OF THE REGIONAL SALES REPORT.,,,,"### Response:
This code is written in COBOL, which is a programming language used for business applications. It moves the values of two variables, WA-EMP-NAME and WA-MGMT-SALARY, to specific locations within an array calledREGION-SALES-TABLE. The array contains four occurrences of data, each with a region manager's name and salary. The code uses the variable WA-EMP-REGION to determine which occurrence of data to modify. This type of code is often used in large organizations to manage employee information and track sales by region.",4000-PROCESS-MANAGEMENT,The COBOL code is responsible for processing management data and storing it in a table. The code moves the employee name and management salary to the appropriate region in the table.,0.75,1
110,walmartlabs_zECS,X-COBOL/X-COBOL/COBOL_Files/walmartlabs_zECS/ZECS000.cbl,"       9900-WRITE-CSSL.
           PERFORM 9950-ABS         THRU 9950-EXIT.
           MOVE EIBTRNID              TO TD-TRANID.
           EXEC CICS FORMATTIME ABSTIME(CURRENT-ABS)
                TIME(TD-TIME)
                YYYYMMDD(TD-DATE)
                TIMESEP
                DATESEP
                NOHANDLE
           END-EXEC.

           MOVE LENGTH OF TD-RECORD   TO TD-LENGTH.
           EXEC CICS WRITEQ TD QUEUE(CSSL)
                FROM(TD-RECORD)
                LENGTH(TD-LENGTH)
                NOHANDLE
           END-EXEC.","       01  CURRENT-ABS            PIC S9(15) VALUE ZEROES COMP-3.

       01  CSSL                   PIC  X(04) VALUE '@tdq@'.

       01  TD-LENGTH              PIC S9(04) COMP VALUE ZEROES.

       01  TD-RECORD.

           02  TD-DATE            PIC  X(10).

           02  TD-TIME            PIC  X(08).

           02  TD-TRANID          PIC  X(04).
","['9950-ABS', '9950-EXIT']",16,Write TD CSSL.,,,['CSSL'],"### Response:
This code is using the CICS (Customer Information Control System) programming language to retrieve the current absolute time and store it in the variable ""CURRENT-ABS"". The ABS. function is used to convert the time to its absolute value, which is necessary for this particular application. The ASKTIME command is used to request the current time from CICS, and the ABSTIME parameter is used to specify that the time should be returned as an absolute value. Finally, the NOHANDLE option is used to indicate that no handle should be returned for the time value.",9900-WRITE-CSSL,"This COBOL code is responsible for writing data to a CSSL queue. It first calls a subroutine named 9950-ABS to perform some calculations. Then, it moves the value of the EIBTRNID variable to the TD-TRANID variable. Next, it uses a command to get the current time and date and store them in the TD-TIME and TD-DATE variables, respectively. It then moves the length of the TD-RECORD to the TD-LENGTH variable. Finally, it uses the command again to write the TD-RECORD to the CSSL queue with a length of TD-LENGTH.",1,1
81,cicsdev_cics-async-api-redbooks,X-COBOL/X-COBOL/COBOL_Files/cicsdev_cics-async-api-redbooks/WEBHOME.cbl,"       PRINT-TEXT-TO-SCREEN.
           EXEC CICS SEND TEXT FROM ( TERMINAL-STATUS )
                     TERMINAL WAIT
                     FREEKB
                     ERASE
           END-EXEC
           .","       1 TERMINAL-STATUS.
",[],6,update terminal screen with progress status,,,,"### Response:
This code is used to print text to the screen using the CICS (Customer Information Control System) transaction processing system. The CICS SEND command is used to send the contents of the TERMINAL-STATUS variable to the terminal associated with the current program, and the options specified in the command ensure that the terminal is waiting for input, that any available keyboard buffer space is freed, and that any existing output on the terminal is erased before the new text is printed.",PRINT-TEXT-TO-SCREEN,"The COBOL code is used to send text from the TERMINAL-STATUS to the screen. The CICS SEND command is used to send the text, and the TERMINAL WAIT option ensures that the terminal is waiting for the message to be sent. The FREEKB option releases the keyboard, and the ERASE option erases any previous message on the screen.",1,1
67,cicsdev_cics-async-api-credit-card-application-example,X-COBOL/X-COBOL/COBOL_Files/cicsdev_cics-async-api-credit-card-application-example/CSSTATS2.cbl,"       MAINLINE SECTION.


           EXEC CICS GET CONTAINER ( INPUT-CONTAINER )
                           INTO    ( ACCOUNT-NUMBER-IN )
                           RESP    ( COMMAND-RESP )
                           RESP2   ( COMMAND-RESP2 )
           END-EXEC

           EXEC CICS RUN TRANSID      (GET-POLICY-TRAN)
                         CHILD        (GET-POLICY-TKN)
           END-EXEC
           EXEC CICS RUN TRANSID      (GET-SPEND-TRAN)
                         CHILD        (GET-SPEND-TKN)
           END-EXEC

           IF ACCOUNT-NUMBER-IN = '0001'
           THEN
             MOVE 'VERY VIP' TO CUSTOMER-IMPORTANCE
           ELSE
             MOVE 'REGULAR ' TO CUSTOMER-IMPORTANCE
           END-IF

           EXEC CICS PUT CONTAINER ( CSSTATS2-CONTAINER )
                           FROM    ( CUSTOMER-IMPORTANCE )
                           RESP    ( COMMAND-RESP )
                           RESP2   ( COMMAND-RESP2 )
           END-EXEC

           EXEC CICS RETURN
           END-EXEC.","       1 ACCOUNT-NUMBER-IN.

       1 RETURN-DATA.

         2 CUSTOMER-IMPORTANCE    PIC X(8)  VALUE '        '.

       1 CONTAINER-NAMES.

         2 INPUT-CONTAINER    PIC X(16) VALUE 'INPUTCONTAINER  '.

         2 CSSTATS2-CONTAINER PIC X(16) VALUE 'GETVIPSTATUS    '.

       1 COMMAND-RESP  PIC S9(8) COMP.

       1 COMMAND-RESP2 PIC S9(8) COMP.

       1 TRANSIDS.

         2 GET-POLICY-TRAN    PIC X(4) VALUE 'GETP'.

         2 GET-SPEND-TRAN     PIC X(4) VALUE 'SPND'.

       1 CHILD-TOKENS.

         2 GET-POLICY-TKN     PIC X(16).

         2 GET-SPEND-TKN      PIC X(16).
",[],38,CSSTATS2 - Get the importance (status) of the customer. The business metrics used to calculate the importance of the customer are the number of policies currently held by the customer and the amount they have spent with the company over the year.,,,,"<Answer>
This code is written in COBOL, which is a programming language used for business applications. It contains a mainline program that uses the CICS (Customer Information Control System) interface to interact with a mainframe system. The code retrieves data from an input container using the GET CONTAINER statement, runs two child transactions using the RUN TRANSID statement, and then processes the retrieved data based on the value of the ACCOUNT-NUMBER-IN variable. Finally, it updates a container with the results using the PUT CONTAINER statement and returns control back to the calling program using the RETURN statement.",MAINLINE,"The COBOL code is a program that uses the CICS (Customer Information Control System) to retrieve and update data. The program first retrieves data from an input container and then runs two transactions, GET-POLICY-TRAN and GET-SPEND-TRAN, as children of the current program. After that, it checks the value of the ACCOUNT-NUMBER-IN variable and sets the CUSTOMER-IMPORTANCE variable accordingly. Finally, it updates a CSSTATS2-CONTAINER with the value of the CUSTOMER-IMPORTANCE variable.",0.5,1
